Designator,Mid X,Mid Y,Rotation,Layer
C1,18.25,-16.3,180.0,top
C2,18.25,-18.4,180.0,top
C3,12.325,-28.15,180.0,top
D1,4.6,-18.2,0.0,top
D2,4.6,-21.9,0.0,top
D3,24.5,-17.5,0.0,top
D4,24.5,-13.9,0.0,top
H1,3.5,-26.9,0.0,top
H2,36.1,-2.8,0.0,top
J1,21.94,-25.2,0.0,top
J2,33.9,-19.68,90.0,top
J3,5.2,-8.18,270.0,top
J4,26.25,-2.9,0.0,top
J5,15.25,-2.9,0.0,top
R1,14.0875,-14.0,0.0,top
R2,14.0875,-16.0,0.0,top
R3,26.225,-8.0,180.0,top
R4,26.2375,-10.1,180.0,top
R5,22.7125,-8.0,0.0,top
R6,22.7125,-10.1,0.0,top
U1,18.35,-13.45,180.0,top
U2,12.2,-21.65,270.0,top
